# {'filename': '5AngAgSphere_20220414_202019', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': 1, 'li': 1}, 'specimen': {'pos': [2.5e-09, 0, 0], 'polsmultipliers': (1, 0, 0), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1e-08, 1e-08], 'yrange': [-1e-08, 1e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 14, 20, 20, 19, 829065), 'endtime': datetime.datetime(2022, 4, 15, 0, 31, 59, 103698)}
# omega	gamma
 (4.557802343635878000e+15+0.000000000000000000e+00j)  (2.280604838299531043e+08-1.811620689082168889e+00j)
 (4.743835092355710000e+15+0.000000000000000000e+00j)  (2.308384384805154204e+08-1.797756463287383921e+00j)
 (4.929867841075541000e+15+0.000000000000000000e+00j)  (2.358364642025737762e+08-1.793317161245006286e+00j)
 (5.115900589795373000e+15+0.000000000000000000e+00j)  (2.433553143732841015e+08-1.798731037659551113e+00j)
 (5.301933338515205000e+15+0.000000000000000000e+00j)  (2.538398159736211300e+08-1.814763306845675217e+00j)
 (5.487966087235037000e+15+0.000000000000000000e+00j)  (2.679346311739076376e+08-1.842599370961907290e+00j)
 (5.673998835954868000e+15+0.000000000000000000e+00j)  (2.865735505259685516e+08-1.883976603856363008e+00j)
 (5.860031584674700000e+15+0.000000000000000000e+00j)  (3.111256362256723642e+08-1.941391756217059061e+00j)
 (6.046064333394533000e+15+0.000000000000000000e+00j)  (3.436421978206703663e+08-2.018431922887828023e+00j)
 (6.232097082114364000e+15+0.000000000000000000e+00j)  (3.872916499944886565e+08-2.120317046202405020e+00j)
 (6.418129830834196000e+15+0.000000000000000000e+00j)  (4.471648432640912533e+08-2.254823065732955545e+00j)
 (6.604162579554027000e+15+0.000000000000000000e+00j)  (5.318616064828107357e+08-2.433929492305932918e+00j)
 (6.790195328273859000e+15+0.000000000000000000e+00j)  (6.568647364144161940e+08-2.676939710687692653e+00j)
 (6.976228076993692000e+15+0.000000000000000000e+00j)  (8.524430190469459295e+08-3.016842402686010338e+00j)
 (7.162260825713523000e+15+0.000000000000000000e+00j)  (1.184644793470274448e+09-3.514530978867166144e+00j)
 (7.348293574433354000e+15+0.000000000000000000e+00j)  (1.821456930829818726e+09-4.294430924297170549e+00j)
 (7.534326323153186000e+15+0.000000000000000000e+00j)  (3.299309102635881901e+09-5.645834034816640923e+00j)
 (7.720359071873018000e+15+0.000000000000000000e+00j)  (8.082241027516039848e+09-8.297411217041384290e+00j)
