# {'filename': '5AngAgSphere_20220414_203506', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': 1, 'li': 1}, 'specimen': {'pos': [4e-09, 0, 0], 'polsmultipliers': (1, 0, 0), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1e-08, 1e-08], 'yrange': [-1e-08, 1e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 14, 20, 35, 6, 825648), 'endtime': datetime.datetime(2022, 4, 15, 0, 32, 39, 290709)}
# omega	gamma
 (4.557802343635878000e+15+0.000000000000000000e+00j)  (1.597847408548042774e+08-4.774702719057868916e-01j)
 (4.743835092355710000e+15+0.000000000000000000e+00j)  (1.608332319239457846e+08-4.738617735625157978e-01j)
 (4.929867841075541000e+15+0.000000000000000000e+00j)  (1.634142598322514892e+08-4.726746243272853532e-01j)
 (5.115900589795373000e+15+0.000000000000000000e+00j)  (1.677097092511749864e+08-4.740259713515282969e-01j)
 (5.301933338515205000e+15+0.000000000000000000e+00j)  (1.739966238034023643e+08-4.781194034101747259e-01j)
 (5.487966087235037000e+15+0.000000000000000000e+00j)  (1.826826978617664874e+08-4.852668160720015611e-01j)
 (5.673998835954868000e+15+0.000000000000000000e+00j)  (1.943634212753157020e+08-4.959228369044215157e-01j)
 (5.860031584674700000e+15+0.000000000000000000e+00j)  (2.099158283321386576e+08-5.107388657450229186e-01j)
 (6.046064333394533000e+15+0.000000000000000000e+00j)  (2.306570627573583424e+08-5.306491911374080495e-01j)
 (6.232097082114364000e+15+0.000000000000000000e+00j)  (2.586235861447045207e+08-5.570120529853094249e-01j)
 (6.418129830834196000e+15+0.000000000000000000e+00j)  (2.970880831789432764e+08-5.918495919406061567e-01j)
 (6.604162579554027000e+15+0.000000000000000000e+00j)  (3.515772407194614410e+08-6.382760146965905657e-01j)
 (6.790195328273859000e+15+0.000000000000000000e+00j)  (4.320347679910439849e+08-7.013083784507933016e-01j)
 (6.976228076993692000e+15+0.000000000000000000e+00j)  (5.578842166006991863e+08-7.895194062017942827e-01j)
 (7.162260825713523000e+15+0.000000000000000000e+00j)  (7.714671481438068151e+08-9.187315386122539840e-01j)
 (7.348293574433354000e+15+0.000000000000000000e+00j)  (1.180355146305737972e+09-1.121271083413430736e+00j)
 (7.534326323153186000e+15+0.000000000000000000e+00j)  (2.127622670558657169e+09-1.472281409304231792e+00j)
 (7.720359071873018000e+15+0.000000000000000000e+00j)  (5.186733567040864944e+09-2.160917672090032937e+00j)
 (7.906391820592849000e+15+0.000000000000000000e+00j)  (2.102522795942268753e+10-2.596088871423745115e+00j)
 (8.092424569312682000e+15+0.000000000000000000e+00j)  (1.420073937697255516e+10+2.667650467161087224e+00j)
 (8.278457318032512000e+15+0.000000000000000000e+00j)  (3.311763224433099270e+09+1.714670664653445309e+00j)
 (8.464490066752345000e+15+0.000000000000000000e+00j)  (1.269763724576860428e+09+1.100396123092448164e+00j)
 (8.650522815472177000e+15+0.000000000000000000e+00j)  (6.338202806965568066e+08+7.826656605811710410e-01j)
 (8.836555564192009000e+15+0.000000000000000000e+00j)  (3.664923317684852481e+08+5.947510384377939774e-01j)
 (9.022588312911840000e+15+0.000000000000000000e+00j)  (2.324485166910865605e+08+4.720932641532160634e-01j)
 (9.208621061631672000e+15+0.000000000000000000e+00j)  (1.570745172549828887e+08+3.863491325166953372e-01j)
 (9.394653810351504000e+15+0.000000000000000000e+00j)  (1.111512156796382964e+08+3.233736469213874809e-01j)
 (9.580686559071334000e+15+0.000000000000000000e+00j)  (8.146423571509999037e+07+2.753764824910974740e-01j)
 (9.766719307791168000e+15+0.000000000000000000e+00j)  (6.137962436532268673e+07+2.377313204248087952e-01j)
 (9.952752056510998000e+15+0.000000000000000000e+00j)  (4.729244720462527871e+07+2.075242559366358430e-01j)
 (1.013878480523083000e+16+0.000000000000000000e+00j)  (3.711811620493645221e+07+1.828315874643052508e-01j)
 (1.032481755395066200e+16+0.000000000000000000e+00j)  (2.958926914646845311e+07+1.623336822453639583e-01j)
