# {'filename': '5nmAgSph_EE0MM0EM1_li1_lf1_xp3e-09', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': 1, 'li': 1}, 'specimen': {'pos': [3e-09, 0, 0], 'polsmultipliers': (0, 0, 1), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1e-08, 1e-08], 'yrange': [-1e-08, 1e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 15, 22, 9, 33, 72495), 'endtime': datetime.datetime(2022, 4, 16, 2, 58, 29, 522396)}
# omega	gamma
 (6.000000000000000000e+15+0.000000000000000000e+00j)  (2.895148406757993102e+08-9.428509601404314600e-01j)
 (6.081632653061224000e+15+0.000000000000000000e+00j)  (3.033763985490031242e+08-9.617328821810576800e-01j)
 (6.163265306122448000e+15+0.000000000000000000e+00j)  (3.191767333760157824e+08-9.829837040577709129e-01j)
 (6.244897959183673000e+15+0.000000000000000000e+00j)  (3.372563584327539802e+08-1.006901434606361612e+00j)
 (6.326530612244898000e+15+0.000000000000000000e+00j)  (3.580388974761285186e+08-1.033843240062475521e+00j)
 (6.408163265306123000e+15+0.000000000000000000e+00j)  (3.820566629616308808e+08-1.064240217763001484e+00j)
 (6.489795918367347000e+15+0.000000000000000000e+00j)  (4.099859863898620605e+08-1.098616858273360419e+00j)
 (6.571428571428571000e+15+0.000000000000000000e+00j)  (4.426968050559490919e+08-1.137616973948757826e+00j)
 (6.653061224489796000e+15+0.000000000000000000e+00j)  (4.813234884235053062e+08-1.182038763921119839e+00j)
 (6.734693877551020000e+15+0.000000000000000000e+00j)  (5.273679908050187230e+08-1.232882912697999656e+00j)
 (6.816326530612244000e+15+0.000000000000000000e+00j)  (5.828533757783681154e+08-1.291419687688501572e+00j)
 (6.897959183673469000e+15+0.000000000000000000e+00j)  (6.505579212769168615e+08-1.359284257771416815e+00j)
 (6.979591836734693000e+15+0.000000000000000000e+00j)  (7.343819933556760550e+08-1.438614803553448507e+00j)
 (7.061224489795919000e+15+0.000000000000000000e+00j)  (8.399411032206904888e+08-1.532257078640927528e+00j)
 (7.142857142857143000e+15+0.000000000000000000e+00j)  (9.755592048293197155e+08-1.644074662770406592e+00j)
 (7.224489795918367000e+15+0.000000000000000000e+00j)  (1.154001794882872105e+09-1.779431596333492349e+00j)
 (7.306122448979592000e+15+0.000000000000000000e+00j)  (1.395647155367733955e+09-1.945963054379624912e+00j)
 (7.387755102040816000e+15+0.000000000000000000e+00j)  (1.734622447136286974e+09-2.154835659461205477e+00j)
 (7.469387755102040000e+15+0.000000000000000000e+00j)  (2.231487660819350719e+09-2.422837421118498202e+00j)
 (7.551020408163265000e+15+0.000000000000000000e+00j)  (3.001594007959211826e+09-2.775769539927485763e+00j)
 (7.632653061224490000e+15+0.000000000000000000e+00j)  (4.284586316566999435e+09-3.253092388105402577e+00j)
 (7.714285714285714000e+15+0.000000000000000000e+00j)  (6.632580788052649498e+09-3.907762742179714976e+00j)
 (7.795918367346939000e+15+0.000000000000000000e+00j)  (1.145349607639854813e+10-4.747354498004468404e+00j)
 (7.877551020408163000e+15+0.000000000000000000e+00j)  (2.215336488177728653e+10-5.209387149839578512e+00j)
 (7.959183673469388000e+15+0.000000000000000000e+00j)  (3.773884345066628265e+10-1.929183267475510277e+00j)
 (8.040816326530612000e+15+0.000000000000000000e+00j)  (2.964696324564329147e+10+4.080838818878953944e+00j)
 (8.122448979591836000e+15+0.000000000000000000e+00j)  (1.443057914679128265e+10+4.779297498731789773e+00j)
 (8.204081632653062000e+15+0.000000000000000000e+00j)  (7.365054263519386292e+09+3.900213387713241442e+00j)
 (8.285714285714285000e+15+0.000000000000000000e+00j)  (4.239709595364038944e+09+3.106786841483625494e+00j)
 (8.367346938775511000e+15+0.000000000000000000e+00j)  (2.685387589291611671e+09+2.526717747087037669e+00j)
 (8.448979591836735000e+15+0.000000000000000000e+00j)  (1.823861929103002071e+09+2.104720482807191040e+00j)
 (8.530612244897959000e+15+0.000000000000000000e+00j)  (1.304376631865142822e+09+1.789680366918259713e+00j)
 (8.612244897959184000e+15+0.000000000000000000e+00j)  (9.702250782019993067e+08+1.547661095748991356e+00j)
 (8.693877551020408000e+15+0.000000000000000000e+00j)  (7.441818792928242683e+08+1.356889238646156404e+00j)
 (8.775510204081632000e+15+0.000000000000000000e+00j)  (5.850169528345931768e+08+1.203158026331369701e+00j)
 (8.857142857142857000e+15+0.000000000000000000e+00j)  (4.692380040760959983e+08+1.076934788495255813e+00j)
 (8.938775510204082000e+15+0.000000000000000000e+00j)  (3.827257168601855040e+08+9.716354350501458237e-01j)
 (9.020408163265306000e+15+0.000000000000000000e+00j)  (3.166093814283897877e+08+8.825881609742441958e-01j)
 (9.102040816326530000e+15+0.000000000000000000e+00j)  (2.651039078328271210e+08+8.063965652471516421e-01j)
 (9.183673469387756000e+15+0.000000000000000000e+00j)  (2.243146629616432786e+08+7.405375112172368768e-01j)
 (9.265306122448980000e+15+0.000000000000000000e+00j)  (1.915469546239127219e+08+6.831002689645750969e-01j)
 (9.346938775510204000e+15+0.000000000000000000e+00j)  (1.648914348654630184e+08+6.326129679942208428e-01j)
 (9.428571428571428000e+15+0.000000000000000000e+00j)  (1.429666955739787519e+08+5.879244088135585633e-01j)
 (9.510204081632654000e+15+0.000000000000000000e+00j)  (1.247546950522745401e+08+5.481218441069584113e-01j)
 (9.591836734693878000e+15+0.000000000000000000e+00j)  (1.094927698868748248e+08+5.124726633221452499e-01j)
 (9.673469387755102000e+15+0.000000000000000000e+00j)  (9.660112041776470840e+07+4.803822998670950195e-01j)
 (9.755102040816326000e+15+0.000000000000000000e+00j)  (8.563309919827879965e+07+4.513633553118580610e-01j)
 (9.836734693877552000e+15+0.000000000000000000e+00j)  (7.624049157857555151e+07+4.250126186443302645e-01j)
 (9.918367346938776000e+15+0.000000000000000000e+00j)  (6.814885433353036642e+07+4.009937318233633419e-01j)
 (1.000000000000000000e+16+0.000000000000000000e+00j)  (6.113972886542186141e+07+3.790239523451148229e-01j)
