# {'filename': '5nmAgSph_EE0MM0EM1_li-1_lf-1_xp1e-09', 'beam': {'qz': 199725854668.28848, 'v': 133707436.268, 'q_colector': 1997258546.682885, 'q_aperture': 1997258546.682885, 'lf': -1, 'li': -1}, 'specimen': {'pos': [1e-09, 0, 0], 'polsmultipliers': (0, 0, 1), 'shereradius': 5e-10, 'omega_p': 1.3825333775695496e+16, 'gamma_p': 227890117181793.88}, 'calculation': {'xrange': [-1e-08, 1e-08], 'yrange': [-1e-08, 1e-08], 'numxpoints': 50, 'numypoints': 50}, 'starttime': datetime.datetime(2022, 4, 15, 22, 2, 42, 460647), 'endtime': datetime.datetime(2022, 4, 16, 2, 47, 41, 576085)}
# omega	gamma
 (6.000000000000000000e+15+0.000000000000000000e+00j)  (4.852415370367615223e+08-9.133834058192153549e+00j)
 (6.081632653061224000e+15+0.000000000000000000e+00j)  (5.097992955492155552e+08-9.297022137195540381e+00j)
 (6.163265306122448000e+15+0.000000000000000000e+00j)  (5.377418586941710711e+08-9.482675856161149497e+00j)
 (6.244897959183673000e+15+0.000000000000000000e+00j)  (5.696694580131930113e+08-9.693536085729848040e+00j)
 (6.326530612244898000e+15+0.000000000000000000e+00j)  (6.063289085850307941e+08-9.932893930281460726e+00j)
 (6.408163265306123000e+15+0.000000000000000000e+00j)  (6.486588170995762348e+08-1.020472769573144767e+01j)
 (6.489795918367347000e+15+0.000000000000000000e+00j)  (6.978520463021202087e+08-1.051388323391190482e+01j)
 (6.571428571428571000e+15+0.000000000000000000e+00j)  (7.554434141198245287e+08-1.086631442069469244e+01j)
 (6.653061224489796000e+15+0.000000000000000000e+00j)  (8.234350006784820557e+08-1.126940817918871041e+01j)
 (6.734693877551020000e+15+0.000000000000000000e+00j)  (9.044787127441436052e+08-1.173243047716576903e+01j)
 (6.816326530612244000e+15+0.000000000000000000e+00j)  (1.002148098370099306e+09-1.226714843152782031e+01j)
 (6.897959183673469000e+15+0.000000000000000000e+00j)  (1.121352986177408695e+09-1.288871397616956749e+01j)
 (6.979591836734693000e+15+0.000000000000000000e+00j)  (1.268989532854425669e+09-1.361694424189679431e+01j)
 (7.061224489795919000e+15+0.000000000000000000e+00j)  (1.454991455702907324e+09-1.447821768809085796e+01j)
 (7.142857142857143000e+15+0.000000000000000000e+00j)  (1.694091447090736866e+09-1.550834946444704876e+01j)
